symbol,trades,wins,win_rate,profit_r,profit_usd,avg_r_per_trade
USD_CHF,37,19,51.4,55.35,33211.96,1.496
GBP_NZD,26,15,57.7,49.96,29976.38,1.922
SPX500_USD,46,18,39.1,46.77,28064.9,1.017
EUR_NZD,31,15,48.4,45.16,27094.91,1.457
EUR_JPY,42,17,40.5,44.28,26566.06,1.054
GBP_JPY,37,16,43.2,44.04,26425.71,1.19
GBP_USD,44,16,36.4,35.24,21145.97,0.801
AUD_JPY,41,15,36.6,33.46,20075.18,0.816
XAU_USD,38,14,36.8,32.8,19677.11,0.863
XAG_USD,41,14,34.1,31.44,18861.8,0.767
USD_CAD,48,16,33.3,30.2,18121.57,0.629
CAD_JPY,44,15,34.1,29.58,17750.49,0.672
CHF_JPY,46,14,30.4,26.48,15889.26,0.576
NAS100_USD,43,13,30.2,24.96,14977.2,0.581
GBP_AUD,45,13,28.9,21.71,13025.57,0.482
USD_JPY,28,9,32.1,18.9,11338.88,0.675
EUR_USD,45,12,26.7,15.3,9177.83,0.34
EUR_GBP,27,8,29.6,11.6,6961.96,0.43
AUD_NZD,55,14,25.5,9.98,5990.66,0.182
NZD_CHF,35,9,25.7,9.03,5416.96,0.258
GBP_CAD,28,7,25.0,6.25,3749.36,0.223
EUR_AUD,38,8,21.1,3.13,1880.11,0.082
GBP_CHF,23,5,21.7,3.08,1850.02,0.134
EUR_CHF,16,4,25.0,2.94,1763.48,0.184
AUD_CAD,44,9,20.5,-0.88,-529.79,-0.02
CAD_CHF,48,10,20.8,-1.21,-724.56,-0.025
AUD_USD,34,6,17.6,-3.02,-1813.47,-0.089
AUD_CHF,49,10,20.4,-3.16,-1893.05,-0.064
BTC_USD,70,12,17.1,-7.93,-4756.78,-0.113
NZD_CAD,45,7,15.6,-10.46,-6276.03,-0.232
EUR_CAD,30,4,13.3,-10.77,-6459.65,-0.359
NZD_USD,53,8,15.1,-13.94,-8364.48,-0.263
ETH_USD,76,11,14.5,-14.99,-8991.48,-0.197
NZD_JPY,41,5,12.2,-16.03,-9617.22,-0.391
TOTAL,1394,388,27.8,549.28,329566.84,0.394
